"id","Year","DOY","Treatment","Cut_Number","Molehill","Lodging","N_species","height_obs","biomass_obs","height_dem_mean","height_dem_sd","height_dem_min","height_dem_q25","height_dem_q50","height_dem_q75","height_dem_q90","height_dem_max"
43,2023,157,2,1,NA,0,11,0.576,778.21,0.59994059,0.076976854,0.398429871,0.552066803,0.606872559,0.652133942,0.69337616,0.784507751
43,2023,221,2,2,NA,0,NA,0.206,186.45,0.090288858,0.027489237,0.03326416,0.070522308,0.087760925,0.106777191,0.123973083,0.19102478
43,2023,265,2,3,NA,0,NA,0.152,97.72,0.082874973,0.01441585,0.029647827,0.073486328,0.083759308,0.093742371,0.100971222,0.114898682
44,2022,165,2,1,1,2,6,0.412,1326.21,0.521361279,0.074086689,0.281303406,0.494125366,0.542419434,0.57466507,0.597610474,0.654724121
44,2022,214,2,2,1,0,7,0.088,44.77,0.071659354,0.02050772,0.015083313,0.058486938,0.072307587,0.084064484,0.096376038,0.146316528
44,2022,257,2,3,0,0,9,0.132,59.1,0.091726891,0.018895247,0.043106079,0.078023911,0.093288422,0.104553223,0.117045593,0.133110046
44,2023,157,2,1,NA,0,11,0.518,886.32,0.51128551,0.128534197,0.208534241,0.415815353,0.511993408,0.604335785,0.668834686,0.830039978
44,2023,221,2,2,NA,1,14,0.22,168.43,0.087622309,0.023865702,0.036422729,0.073326111,0.087425232,0.099685669,0.113783264,0.242485046
44,2023,265,2,3,NA,2,8,0.174,101.39,0.102197514,0.018628353,0.036567688,0.091007233,0.100345612,0.11378479,0.127689362,0.17010498
45,2022,165,2,1,1,2,NA,0.39,1523.87,0.457783001,0.049596224,0.30279541,0.420289993,0.458049774,0.499494553,0.521682739,0.583267212
45,2022,214,2,2,0,0,NA,0.102,54.01,0.060554792,0.027666021,0.010002136,0.040245056,0.058654785,0.079170227,0.093904114,0.173965454
45,2022,257,2,3,0,0,NA,0.116,40.19,0.069061879,0.016842678,0.026290894,0.057350159,0.069007874,0.081573486,0.091029358,0.120796204
45,2023,157,2,1,NA,0,14,0.484,1010.66,0.565610489,0.077800218,0.365653992,0.509109497,0.579284668,0.62184906,0.66349411,0.727554321
45,2023,221,2,2,NA,1,NA,0.218,157.46,0.078687834,0.022336651,0.028327942,0.062250137,0.076206207,0.093416214,0.111338043,0.142814636
45,2023,265,2,3,NA,1,NA,0.154,84.58,0.081110686,0.020267525,0.028816223,0.06905365,0.082855225,0.093833923,0.104563904,0.136383057
46,2022,165,2,1,0,0,8,0.676,842.13,0.613116556,0.145970611,0.193161011,0.516090393,0.650749207,0.730102539,0.771331787,0.816413879
46,2022,214,2,2,1,0,7,0.09,40.38,0.022595816,0.009611121,0.010017395,0.014951706,0.020812988,0.028186798,0.034489441,0.078468323
46,2022,257,2,3,1,0,9,0.096,14.53,0.039302049,0.014708356,0.010040283,0.028945923,0.03931427,0.048484802,0.057679749,0.139625549
46,2023,157,2,1,NA,0,10,0.548,741.61,0.460847954,0.094288071,0.191902161,0.404577255,0.471225739,0.53162384,0.571588135,0.61932373
46,2023,221,2,2,NA,1,13,0.22,149.47,0.106388969,0.055138924,0.010299683,0.058458328,0.089015961,0.158275604,0.188362122,0.231834412
46,2023,265,2,3,NA,0,10,0.144,41.94,0.058910075,0.024765141,0.010253906,0.040187836,0.056976318,0.074008942,0.095613861,0.131195068
47,2022,165,2,1,0,0,NA,0.53,887.2,0.591608074,0.16736443,0.149116516,0.486570358,0.616840363,0.726650238,0.797937775,0.862380981
47,2022,214,2,2,0,0,NA,0.104,98.14,0.079439466,0.023847149,0.01663208,0.063510895,0.080757141,0.096061707,0.110057068,0.143386841
47,2022,257,2,3,1,0,NA,0.138,72.68,0.103850593,0.02828922,0.040359497,0.081558228,0.09954834,0.12776947,0.141999817,0.175514221
47,2023,157,2,1,NA,0,10,0.572,709.16,0.608760586,0.073967316,0.26361084,0.57440567,0.605384827,0.667346954,0.698025513,0.725906372
47,2023,221,2,2,NA,1,NA,0.188,181.49,0.088123244,0.022823235,0.041168213,0.071231842,0.085475922,0.104679108,0.11980896,0.147789001
47,2023,265,2,3,NA,2,NA,0.16,161.64,0.083654094,0.027768681,0.024993896,0.06321907,0.081645966,0.105638504,0.121326447,0.173667908
48,2022,165,2,1,0,1,4,0.51,850.8,0.483130506,0.100951386,0.208976746,0.41655159,0.495250702,0.554197311,0.607418823,0.690719604
48,2022,214,2,2,0,0,6,0.104,119.58,0.090666491,0.027124044,0.033988953,0.069900513,0.088485718,0.109996796,0.129951477,0.162643433
48,2022,257,2,3,1,0,7,0.152,74.67,0.117468764,0.015875875,0.057151794,0.105010986,0.119766235,0.129901886,0.136689758,0.152359009
48,2023,157,2,1,NA,0,10,0.54,945.39,0.541747582,0.069203873,0.36530304,0.497814178,0.542854309,0.582759857,0.634243774,0.723899841
48,2023,221,2,2,NA,2,8,0.202,281.7,0.130906176,0.024324759,0.056236267,0.116916656,0.13218689,0.146474838,0.161128998,0.203712463
48,2023,265,2,3,NA,1,5,0.158,107,0.083454454,0.020555284,0.010032654,0.072547913,0.088470459,0.097114563,0.105741882,0.121292114
49,2022,165,2,1,0,1,NA,0.58,901.67,0.475865129,0.10344128,0.250030518,0.395633698,0.50504303,0.563907623,0.585472107,0.647926331
49,2022,214,2,2,0,0,NA,0.262,266.14,0.257517844,0.0227481,0.16985321,0.244789124,0.259910583,0.273283005,0.284282684,0.310493469
49,2022,257,2,3,0,1,NA,0.162,122.69,0.129840347,0.025619633,0.083610535,0.110157013,0.123184204,0.148715973,0.165492249,0.218940735
49,2023,157,2,1,NA,0,6,0.558,1086.5,0.574442716,0.09633087,0.247428894,0.542755127,0.596229553,0.629928589,0.669998169,0.769485474
49,2023,221,2,2,NA,0,NA,0.366,343.75,0.274757815,0.028497331,0.205596924,0.251480103,0.275878906,0.29467392,0.314811707,0.34437561
49,2023,265,2,3,NA,2,NA,0.16,105.94,0.108049955,0.029854476,0.022476196,0.089313507,0.105407715,0.124858856,0.150186157,0.191566467
5,2022,165,1,1,1,2,NA,0.434,1150.66,0.403557723,0.092046912,0.137283325,0.355068207,0.407119751,0.45949173,0.511408997,0.639961243
